"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"J107";"CONN_PHOENIX_1844252_6PIN";1;"CONN_01X06";;;
2;"U704";"SOIC-8_3.9x4.9mm_Pitch1.27mm";1;"TLC393";;;
3;"U702";"SOT-23-5";1;"TLV271IDBVR";;;
4;"TP401,TP402,TP403,TP603,TP602,TP601,TP503,TP502,TP501";"TP_SMT_Keystone";9;"Testpoint";;;
5;"F401,F601,F501";"SCHURTER_0031_3804_FUSE";3;"0031.3804";;;
6;"D404,D604,D504";"SMB_Handsoldering";3;"60V";;;
7;"D403,D503,D603,D302,D1402,D1302,D1202,D1102,D1002,D902,D802,D202,D702";"LED_1206";13;"GREEN";;;
8;"R401,R501,R601";"R_1206_HandSoldering";3;"1.5k";;;
9;"C304";"C_1206_HandSoldering";1;"47uF";;;
10;"C302,C1403,C1303,C1203,C1103,C1003,C903,C803,C203";"R_0805_HandSoldering";9;"2.2uF";;;
11;"R303";"R_1206_HandSoldering";1;"12k";;;
12;"D301,D1401,D1301,D1201,D1101,D1001,D901,D801,D201";"SMA_Handsoldering";9;"DIODESCH";;;
13;"R302,R1402,R1302,R1202,R1102,R1002,R902,R802,R202";"R_1206_HandSoldering";9;"47.5k";;;
14;"C301,C1401,C1402,C1302,C1301,C1201,C1202,C1102,C1101,C1002,C1001,C901,C902,C801,C802,C202,C201";"C_1210_HandSoldering";17;"2.2uF";;;
15;"C303,C1404,C1304,C1204,C1104,C1004,C904,C804,C204";"R_1206_HandSoldering";9;"0.1uF";;;
16;"R301,R1401,R1301,R1201,R1101,R1001,R901,R801,R201,R101,R102,R103,R104,R105,R107,R108,R109,R110,R111,R112,R113,R114,R106";"R_1206_HandSoldering";23;"0";;;
17;"VR301";"BOURNS_MULTITURNPOT_3299W";1;"100k";;;
18;"D303";"SMB_Handsoldering";1;"7.5V";;;
19;"D1404,D1304,D1204,D1104,D1004,D904,D804,D204";"SMB_Handsoldering";8;"28V";;;
20;"C1406,C1405,C1305,C1306,C1205,C1206,C1106,C1105,C1006,C1005,C906,C905,C806,C805,C205,C206";"C_1206_HandSoldering";16;"4.7uF";;;
21;"R1403,R1303,R1203,R1103,R1003,R903,R803,R203";"R_1206_HandSoldering";8;"20k";;;
22;"D1403,D1303,D1203,D1103,D1003,D903,D803,D203";"SMA_Handsoldering";8;"18V";;;
23;"L1401,L1301,L1201,L1101,L1001,L901,L801,L201";"47uIND_CDRH127_LDNP-470MC_SUMIDA";8;"47uH";;;
24;"VR1401,VR1301,VR1201,VR1101,VR1001,VR901,VR801,VR201";"BOURNS_MULTITURNPOT_3299W";8;"1M";;;
25;"R1404,R1304,R1204,R1104,R1004,R904,R804,R204";"R_1206_HandSoldering";8;"400";;;
26;"C702";"SMD-1206_Pol";1;"10uF";;;
27;"D701";"LED_1206";1;"RED";;;
28;"R701";"SMD-1206_Pol";1;"100k";;;
29;"R702,R703";"SMD-1206_Pol";2;"500k";;;
30;"R704,R706";"SMD-1206_Pol";2;"10k";;;
31;"R705,R709,R304";"SMD-1206_Pol";3;"300";;;
32;"U701";"Reg_SOT89-3_Diodes_PinNames";1;"UA78L05CPK";;;
33;"J104,J110,J111,J112,J113,J114,J115,J116,J117,J118,J119,J120,J121,J122,J123,J124,J125,J126,J127,J128,J129";"CONN_PHOENIX_1844210_2PIN";21;"CONN_01X02";;;
34;"C701,C703";"C_1206_HandSoldering";2;"C";;;
35;"U703";"LT_LTC2950-1_TSOT-23-8";1;"LTC2950-1";;;
36;"J105";"CONN_PHOENIX_1720466_2PIN";1;"CONN_01X02";;;
37;"R707,R708";"SMD-1206_Pol";2;"1M";;;
38;"L301";"15uIND_SLF10165T-150M3R13PF_BOURNS";1;"15uH";;;
39;"SW701";"PBSW_CW_GPTS203211B";1;"GPTS203211B";;;
40;"J130,J131,J132,J133";"MountingHole_5.5mm_Pad_Via";4;"MOUNTING_HOLE";;;
41;"D401,D601,D501";"DD-PAK_TO263_SingleDiode_ThermalVias";3;"VB30100S-E3/8W";;;
42;"G***";"ParadigmLogo";1;"LOGO";;;
43;"D402,D502,D602";"SOD-123";3;"25V";;;
44;"U201,U301,U801,U901,U1001,U1101,U1201,U1301,U1401";"LMR16030S_8-PowerSOIC_TI";9;"LMR16030S";;;
45;"J101,J102,J103,J106,J108,J109";"CONN_PHOENIX_1844236_4PIN_1";6;"CONN_01X04";;;
46;"G***";"ParadigmLogoRelief";1;"LOGO";;;
